Symbol,Direction,Entry Time,Exit Time,Entry Price,Exit Price,Exit Reason,Net PnL,Fee,Equity After
ETH_USDT,long,2025-04-21 13:30:00,2025-04-21 14:00:00,1627.42,1611.75,stop_loss,-163.7186962000007,12.503196200000001,3542.989277985664
ETH_USDT,long,2025-04-23 14:00:00,2025-04-23 15:00:00,1786.98,1763.2424039931875,stop_loss,-77.98882340207034,4.402275780951552,3465.0004545835936
ETH_USDT,long,2025-04-23 15:30:00,2025-04-23 16:00:00,1766.91,1794.8000000000002,take_profit,269.681570040001,14.517529960000001,3734.6820246235948
SOL_USDT,long,2025-04-22 19:30:00,2025-04-23 19:30:00,144.85,149.01000000000002,technical_exit,84.89157600000053,2.468424,3819.573600623595
ETH_USDT,long,2025-04-23 16:30:00,2025-04-24 04:00:00,1792.8,1763.2424039931875,stop_loss,-81.16763397723346,3.7267324393848615,3738.405966646362
ETH_USDT,long,2025-04-24 04:30:00,2025-04-24 05:00:00,1763.8,1772.19,take_profit,73.87164636000107,14.97845364,3812.277613006363
ETH_USDT,long,2025-04-24 05:30:00,2025-04-24 06:00:00,1768.37,1763.2424039931875,stop_loss,-70.43839522977201,15.214186236402652,3741.839217776591
SOL_USDT,short,2025-04-24 04:30:00,2025-04-24 14:00:00,148.15,149.55321178104475,stop_loss,-28.923568249386115,2.26254440953594,3712.9156495272046
SOL_USDT,long,2025-04-25 13:30:00,2025-04-25 17:30:00,152.83,151.36269137059642,stop_loss,-79.44928529759142,6.083853827411929,3633.466364229613
SOL_USDT,short,2025-04-25 18:00:00,2025-04-27 13:30:00,150.83,149.20816606963956,stop_loss,21.02546129505635,1.680213729989982,3654.4918255246694
ETH_USDT,short,2025-05-06 17:30:00,2025-05-06 19:00:00,1771.8,1794.1428391860568,stop_loss,-77.96302953527854,4.6785170050121065,3576.528795989391
ETH_USDT,short,2025-05-06 19:30:00,2025-05-06 22:00:00,1787.81,1794.1428391860568,stop_loss,-77.65620321731267,14.327811356744226,3498.872592772078
ETH_USDT,long,2025-05-08 22:00:00,2025-05-09 14:30:00,2179.48,2281.641764067821,stop_loss,77.29053282888927,1.3740255033328888,3576.1631256009673
ETH_USDT,long,2025-05-09 15:00:00,2025-05-09 15:30:00,2305.37,2281.641764067821,stop_loss,-86.65870776216245,6.219987952075965,3489.504417838805
ETH_USDT,long,2025-05-09 16:00:00,2025-05-10 07:30:00,2300.65,2395.091179660896,take_profit,385.0615940663719,7.813713322955731,3874.5660119051768
ETH_USDT,long,2025-05-10 08:00:00,2025-05-11 07:00:00,2398.98,2479.5254723887365,stop_loss,83.30971441176783,2.0684863202928248,3957.8757263169446
ETH_USDT,long,2025-05-11 07:30:00,2025-05-11 08:00:00,2489.69,2472.51,stop_loss,-170.37578319999855,17.645583200000004,3787.499943116946
SOL_USDT,long,2025-05-08 09:30:00,2025-05-11 15:30:00,152.65,170.46967312344276,stop_loss,459.95105660902783,3.360444600483805,4247.450999725974
ETH_USDT,long,2025-05-13 22:30:00,2025-05-14 08:00:00,2696.84,2617.870770399387,stop_loss,-70.55274910063254,1.8495193480989867,4176.8982506253415
ETH_USDT,long,2025-05-14 08:30:00,2025-05-14 09:00:00,2627.49,2596.14,stop_loss,-265.5092488799993,16.590248879999997,3911.3890017453423
SOL_USDT,short,2025-05-15 11:30:00,2025-05-15 17:00:00,170.81,174.20627019992648,stop_loss,-74.2198108681354,2.898136669679382,3837.169190877207
SOL_USDT,short,2025-05-17 00:30:00,2025-05-17 07:00:00,166.66,169.68243789768005,stop_loss,-50.51159796542594,2.1525916025451526,3786.6575929117807
SOL_USDT,short,2025-05-17 07:30:00,2025-05-18 05:00:00,169.41,168.8070077763626,stop_loss,51.91530167847939,15.0168351452705,3838.57289459026
ETH_USDT,short,2025-05-17 12:30:00,2025-05-18 05:30:00,2481.27,2507.1374892854046,stop_loss,-45.137820695412465,3.232488053056942,3793.435073894848
